Hormone,_c1,Organ
Addison's disease,mayCauseUnderProductionOf,beta-cortolonic acid
Addison's disease,mayCauseUnderProductionOf,Progesterone
Addison's disease,mayCauseUnderProductionOf,alpha-cortolone
Addison's disease,mayCauseUnderProductionOf,18-hydroxycorticosterone
Addison's disease,mayCauseUnderProductionOf,20alpha-Hydroxyprogesterone
Addison's disease,mayCauseUnderProductionOf,21-Deoxycortisone
Addison's disease,mayCauseUnderProductionOf,20alpha-Dihydrocortisone
Addison's disease,mayCauseUnderProductionOf,"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione"
Addison's disease,mayCauseUnderProductionOf,18-Hydroxy-11-dehydrotetrahydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,3alpha-hydroxy-5beta-pregnan-20-one
Addison's disease,mayCauseUnderProductionOf,Testosterone
Addison's disease,mayCauseUnderProductionOf,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione"
Addison's disease,mayCauseUnderProductionOf,21-deoxycortisol
Addison's disease,mayCauseUnderProductionOf,Tetrahydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,5beta-Dihydroaldosterone
Addison's disease,mayCauseUnderProductionOf,Pregnanediol
Addison's disease,mayCauseUnderProductionOf,alpha-Cortol
Addison's disease,mayCauseUnderProductionOf,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
Addison's disease,mayCauseUnderProductionOf,beta-cortolic acid
Addison's disease,mayCauseUnderProductionOf,Allotetrahydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,Glucuronides
Addison's disease,mayCauseUnderProductionOf,5beta-dihydrocortisol
Addison's disease,mayCauseUnderProductionOf,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al"
Addison's disease,mayCauseUnderProductionOf,Cortisol
Addison's disease,mayCauseUnderProductionOf,11beta-Hydroxyetiocholanolone
Addison's disease,mayCauseUnderProductionOf,"4,5beta-Dihydrocortisone"
Addison's disease,mayCauseUnderProductionOf,Cortolonic acid
Addison's disease,mayCauseUnderProductionOf,Isoprogesterone
Addison's disease,mayCauseUnderProductionOf,"4-Pregnene-17alpha,20alpha-diol-3,11-dione"
