B00141,The First National Bank of Olathe,Olathe
B00143,Bank of Shorewood,Shorewood
B00144,Integra Bank National Association,Evansville
B00151,First Peoples Bank,Port St. Lucie
B00154,Signature Bank,Windsor
B00157,Mountain Heritage Bank,Clayton
B00161,First Heritage Bank,Snohomish
B00166,Community Central Bank,Mount Clemens
B00167,The Park Avenue Bank,Valdosta
B00172,Rosemount National Bank,Rosemount
B00180,Legacy Bank,Milwaukee
B00189,Peoples State Bank,Hamtramck
B00190,Sunshine State Community Bank,Port Orange
B00195,FirsTier Bank,Louisville
B00201,Enterprise Banking Company,McDonough
B00202,Oglethorpe Bank,Brunswick
B00205,Community National Bank,Lino Lakes
B00207,United Americas Bank,N.A.
B00208,Appalachian Community Bank,FSB
B00215,Gulf State Community Bank,Carrabelle
B00216,Copper Star Bank,Scottsdale
B00228,Progress Bank of Florida,Tampa
B00232,Security Savings Bank,F.S.B.
B00234,Wakulla Bank,Crawfordville
B00236,Haven Trust Bank Florida,Ponte Vedra Beach
B00243,Horizon Bank,Bradenton
B00246,Butte Community Bank,Chico
B00247,Pacific State Bank,Stockton
B00249,Imperial Savings and Loan Association,Martinsville
B00251,Community National Bank at Bartow,Bartow
B00252,Palos Bank and Trust Company,Palos Heights
B00256,Coastal Community Bank,Panama City Beach
B00257,Bayside Savings Bank,Port Saint Joe
B00259,Home Valley Bank,Cave Junction
B00260,SouthwestUSA Bank,Las Vegas
B00264,Crescent Bank and Trust Company,Jasper
B00266,Mainstreet Savings Bank,FSB
B00269,Metro Bank of Dade County,Miami
B00271,Woodlands Bank,Bluffton
B00273,USA Bank,Port Chester
B00274,Ideal Federal Savings Bank,Baltimore
B00280,Washington First International Bank,Seattle
B00286,Bank of Florida - Tampa,Tampa
B00288,Bank of Florida - Southeast,Fort Lauderdale
B00292,New Liberty Bank,Plymouth
B00298,Frontier Bank,Everett
B00302,Westernbank Puerto Rico,Mayaguez
B00305,Wheatland Bank,Naperville
B00308,New Century Bank,Chicago
B00310,Broadway Bank,Chicago
B00312,City Bank,Lynnwood
B00315,Butler Bank,Lowell
B00320,Beach First National Bank,Myrtle Beach
B00322,Unity National Bank,Cartersville
B00328,Appalachian Community Bank,Ellijay
B00340,Rainier Pacific Bank,Tacoma
B00345,Marco Community Bank,Marco Island
B00347,American Marine Bank,Bainbridge Island
B00351,Florida Community Bank,Immokalee
B00360,Town Community Bank & Trust,Antioch
B00370,Valley Capital Bank,N.A.
B00373,Benchmark Bank,Aurora
B00374,AmTrust Bank,Cleveland
B00378,Commerce Bank of Southwest Florida,Fort Myers
B00383,Gateway Bank of St. Louis,St. Louis
B00384,Prosperan Bank,Oakdale
B00390,Park National Bank,Chicago
B00394,Community Bank of Lemont,Lemont
B00395,Bank USA,N.A.
B00397,Riverview Community Bank,Otsego
B00399,Flagship National Bank,Bradenton
B00400,Hillcrest Bank Florida,Naples
B00411,Brickwell Community Bank,Woodbury
B00416,InBank,Oak Forest
B00419,Mainstreet Bank,Forest Lake
B00420,Bradford Bank,Baltimore
B00421,Guaranty Bank,Austin
B00437,First State Bank of Altus,Altus
B00439,Security Bank of Houston County,Perry
B00440,Security Bank of Bibb County,Macon
B00445,Temecula Valley Bank,Temecula
B00458,MetroPacific Bank,Irvine
B00465,Bank of Lincolnwood,Lincolnwood
B00469,Westsound Bank,Bremerton
B00471,Citizens Community Bank,Ridgewood
B00472,Silverton Bank,NA
B00475,Michigan Heritage Bank,Farmington Hills
B00477,Great Basin Bank of Nevada,Elko
B00481,Omni National Bank,Atlanta
B00484,FirstCity Bank,Stockbridge
B00489,Pinnacle Bank of Oregon,Beaverton
B00490,Corn Belt Bank & Trust Co.,Pittsfield
B00492,Sherman County Bank,Loup City
B00498,MagnetBank,Salt Lake City
B00501,National Bank of Commerce,Berkeley
B00509,Franklin Bank,SSB
B00511,Alpha Bank & Trust,Alpharetta
B00512,Meridian Bank,Eldred
B00518,Columbian Bank & Trust,Topeka
B00523,First Integrity Bank,NA
B00537,Farmers Bank of Cheneyville,Cheneyville
B00544,NextBank,NA
B00545,Oakwood Deposit Bank Co.,Oakwood
B00548,Sinclair National Bank,Gravette
B00549,Superior Bank,FSB
B00550,Malta National Bank,Malta
B00553,Bank of Honolulu,Honolulu
B005,Seaway Bank and Trust Company,Chicago
B0010,Trust Company Bank,Memphis
B0012,Hometown National Bank,Longview
B0014,Premier Bank,Denver
B0015,Edgebrook Bank,Chicago
B0016,Doral Bank,San Juan
B0023,NBRS Financial,Rising Sun
B0029,Slavie Federal Savings Bank,Bel Air
B0031,AztecAmerica Bank,Berwyn
B0032,Allendale County Bank,Fairfax
B0037,DuPage National Bank,West Chicago
B0046,Mountain National Bank,Sevierville
B0052,Douglas County Bank,Douglasville
B0053,Parkway Bank,Lenoir
B0057,Gold Canyon Bank,Gold Canyon
B0058,Frontier Bank,LaGrange
B0066,NOVA Bank,Berwyn
B0067,Excel Bank,Sedalia
B0071,Truman Bank,St. Louis
B0073,Waukegan Savings Bank,Waukegan
B0076,Heartland Bank,Leawood
B0077,First Cherokee State Bank,Woodstock
B0078,Georgia Trust Bank,Buford
B0080,Glasgow Savings Bank,Glasgow
B0082,The Farmers Bank of Lynchburg,Lynchburg
B0089,Alabama Trust Bank,National Association
B0090,Security Bank,National Association
B0092,Plantation Federal Bank,Pawleys Island
B0093,Inter Savings Bank,fsb D/B/A InterBank
B0095,Bank of the Eastern Shore,Cambridge
B00110,American Eagle Savings Bank,Boothwyn
B00111,The First State Bank,Stockbridge
B00114,Premier Community Bank of the Emerald Coast,Crestview
B00115,Central Progressive Bank,Lacombe
B00118,SunFirst Bank,Saint George
B00121,Community Banks of Colorado,Greenwood Village
B00123,Decatur First Bank,Decatur
B00124,Old Harbor Bank,Clearwater
B00127,Blue Ridge Savings Bank,Inc.
B00131,First International Bank,Plano
B00135,CreekSide Bank,Woodstock
B00138,First Southern National Bank,Statesboro
B00147,Bank of Choice,Greeley
B00155,Colorado Capital Bank,Castle Rock
B00158,First Commercial Bank of Tampa Bay,Tampa
B00164,Atlantic Southern Bank,Macon
B00169,Cortez Community Bank,Brooksville
B00171,Heritage Banking Group,Carthage
B00176,Bartow County Bank,Cartersville
B00178,Western Springs National Bank and Trust,Western Springs
B00179,The Bank of Commerce,Wood Dale
B00182,Valley Community Bank,St. Charles
B00184,Charter Oak Bank,Napa
B00191,Community First Bank Chicago,Chicago
B00196,Evergreen State Bank,Stoughton
B00197,The First State Bank,Camargo
B00200,CommunitySouth Bank & Trust,Easley
B00204,First Commercial Bank of Florida,Orlando
B00206,First Southern Bank,Batesville
B00214,Allegiance Bank of North America,Bala Cynwyd
B00218,Tifton Banking Company,Tifton
B00222,K Bank,Randallstown
B00230,Premier Bank,Jefferson City
B00233,Shoreline Bank,Shoreline
B00237,Maritime Savings Bank,West Allis
B00242,ISN Bank,Cherry Hill
B00253,Ravenswood Bank,Chicago
B00261,Community Security Bank,New Prague
B00270,First National Bank of the South,Spartanburg
B00272,Home National Bank,Blackwell
B00276,High Desert State Bank,Albuquerque
B00293,Satilla Community Bank,Saint Marys
B00299,BC National Banks,Butler
B00303,R-G Premier Bank of Puerto Rico,Hato Rey
B00307,Lincoln Park Savings Bank,Chicago
B00309,Citizens Bank and Trust Company of Chicago,Chicago
B00313,Tamalpais Bank,San Rafael
B00316,Riverside National Bank of Florida,Fort Pierce
B00319,Lakeside Community Bank,Sterling Heights
B00321,Desert Hills Bank,Phoenix
B00323,Key West Bank,Key West
B00329,Advanta Bank Corp.,Draper
B00330,Century Security Bank,Duluth
B00336,Centennial Bank,Ogden
B00349,Community Bank and Trust,Cornelia
B00350,Marshall Bank,N.A.
B00353,Columbia River Bank,The Dalles
B00361,Horizon Bank,Bellingham
B00362,First Federal Bank of California,F.S.B.
B00368,RockBridge Commercial Bank,Atlanta
B00376,First Security National Bank,Norcross
B00386,United Security Bank,Sparta
B00387,North Houston Bank,Houston
B00391,Pacific National Bank,San Francisco
B00402,Partners Bank,Naples
B00406,Warren Bank,Warren
