Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1023|enzyme),partOf(1023|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1023|gpcr),partOfTransitive(1023|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1023|transporter),partOfTransitive(1023|197),partOf(197|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1024|1),partOfTransitive(1024|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1024|17),partOfTransitive(1024|197),partOf(197|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1024|197),partOf(1024|197),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1024|2),partOfTransitive(1024|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1024|gpcr),partOfTransitive(1024|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1024|transporter),partOfTransitive(1024|197),partOf(197|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1025|1),partOfTransitive(1025|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1025|17),partOfTransitive(1025|198),partOf(198|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1025|198),partOf(1025|198),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1025|2),partOfTransitive(1025|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1025|gpcr),partOfTransitive(1025|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1025|other_protein),partOf(1025|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1025|transporter),partOfTransitive(1025|198),partOf(198|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1026|1),partOfTransitive(1026|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1026|17),partOfTransitive(1026|198),partOf(198|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1026|198),partOf(1026|198),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1026|2),partOfTransitive(1026|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1026|enzyme),partOf(1026|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1026|gpcr),partOfTransitive(1026|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1026|transporter),partOfTransitive(1026|198),partOf(198|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1027|1),partOfTransitive(1027|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1027|17),partOfTransitive(1027|198),partOf(198|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1027|198),partOf(1027|198),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1027|2),partOfTransitive(1027|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1027|enzyme),partOf(1027|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
