MasterID,Mesor_hat,AmplitudeHat,AcrophaseHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
505,2.6824402198913857,-0.8528420025863497,6.922634027062369,6.874,0.03,9.666666666666666,13.0,3.333333333333334,3.129,1.35,3.129,3.129,6.874,2.481,6.874,6.874,True,True
517,1.8472238676238508,3.4567754207706494,6.922634027062369,11.068,0.263,5.0,21.333333333333332,16.333333333333332,5.774,1.53,5.774,5.774,11.068,2.143,11.068,11.068,True,True
519,2.7013033754718423,-3.166192965680791,6.922634027062369,11.018,0.427,8.0,1.0,17.0,6.258,2.606,6.258,6.258,11.018,3.45,11.018,11.018,True,True
525,2.1888749034654236,2.0765314380633764,6.922634027062369,7.159,0.378,5.666666666666667,0.3333333333333333,18.666666666666664,3.836,2.453,3.836,3.836,7.159,3.452,7.159,7.159,True,True
527,5.605227733254648,-3.4487215939229774,6.922634027062369,17.697,0.612,8.666666666666666,1.3333333333333333,16.666666666666664,9.315,5.162,9.315,9.315,17.697,6.282,17.697,17.697,True,True
529,3.924992233974438,-3.7886874143631353,6.922634027062369,11.733,0.383,9.666666666666666,2.6666666666666665,17.0,8.84,2.907,8.84,8.84,11.733,3.886,11.733,11.733,True,True
531,6.413666193258006,-1.8278775323295147,6.922634027062369,11.641,1.518,6.0,0.6666666666666666,18.666666666666668,6.66,5.494,6.66,6.66,11.641,6.654,11.641,11.641,True,True
541,2.8791556567279257,-2.3198924238911203,6.922634027062369,11.289,0.033,7.0,12.333333333333334,5.333333333333334,6.428,2.307,6.428,6.428,11.289,3.13,11.289,11.289,True,True
553,4.3632101330167075,3.755067980166748,6.922634027062369,16.685,0.207,8.333333333333334,23.666666666666668,15.333333333333334,6.75,1.756,6.75,6.75,16.685,2.829,16.685,16.685,True,True
563,0.20651495999157166,-0.168680960020733,6.922634027062369,0.837,0.029,11.0,4.666666666666667,17.666666666666668,0.411,0.252,0.411,0.411,0.837,0.754,0.837,0.837,True,True
565,1.680435758679131,-0.7893040647960923,6.922634027062369,4.513,0.259,6.666666666666667,2.0,19.333333333333332,2.495,1.121,2.495,2.495,4.513,1.681,4.513,4.513,True,True
571,2.6787305481224433,-3.0939265314504607,6.922634027062369,12.215,0.189,7.666666666666667,0.0,16.333333333333332,5.056,1.384,5.056,5.056,12.215,1.917,12.215,12.215,True,True
579,5.2397610403548995,-4.822720000506219,6.922634027062369,13.471,0.585,6.666666666666667,1.0,18.333333333333332,10.433,4.145,10.433,10.433,13.471,8.983,13.471,13.471,True,True
583,4.8094739942036595,2.422930665558845,6.922634027062369,17.081,0.127,8.333333333333334,11.333333333333334,3.0,7.092,2.946,7.092,7.092,17.081,4.625,17.081,17.081,True,True
585,2.9236993658814296,2.2529287077692715,6.922634027062369,10.024,0.497,8.0,0.3333333333333333,16.333333333333332,6.001,1.893,6.001,6.001,10.024,2.381,10.024,10.024,True,True
587,4.123269614520485,-3.4486302517104774,6.922634027062369,19.382,0.679,8.333333333333334,2.3333333333333335,18.0,5.476,4.637,5.476,5.476,19.382,10.969000000000001,19.382,19.382,True,True
